?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/ZP_0156080>	<http://www.w3.org/2000/01/rdf-schema#label>	"postcranial axial skeleton increased amount, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0101298>	<http://www.w3.org/2000/01/rdf-schema#label>	"proton transmembrane transport disrupted, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0014894>	<http://www.w3.org/2000/01/rdf-schema#label>	"intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator disrupted, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0000083>	<http://www.w3.org/2000/01/rdf-schema#label>	"posterior lateral line neuromast malformed, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0155202>	<http://www.w3.org/2000/01/rdf-schema#label>	"lumen spinal cord increased volume, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0011489>	<http://www.w3.org/2000/01/rdf-schema#label>	"ectoderm orientation cell ectoderm, abnormal"	
<http://purl.obolibrary.org/obo/ZFA_0005898>	<http://www.w3.org/2000/01/rdf-schema#label>	"caudal hematopoietic tissue"	
<http://purl.obolibrary.org/obo/ZP_0138678>	<http://www.w3.org/2000/01/rdf-schema#label>	"lymph vasculature bulbus arteriosus absent, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0138404>	<http://www.w3.org/2000/01/rdf-schema#label>	"parasphenoid decreased occurrence ossification, abnormal"	
<http://purl.obolibrary.org/obo/ZFA_0000280>	<http://www.w3.org/2000/01/rdf-schema#label>	"medial valvula cerebelli"	
<http://purl.obolibrary.org/obo/ZFA_0009062>	<http://www.w3.org/2000/01/rdf-schema#label>	"peptidergic neuron"	
<http://purl.obolibrary.org/obo/ZP_0102825>	<http://www.w3.org/2000/01/rdf-schema#label>	"regenerating fin increased occurrence endothelial cell proliferation, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0155185>	<http://www.w3.org/2000/01/rdf-schema#label>	"heart damaged, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0152257>	<http://www.w3.org/2000/01/rdf-schema#label>	"guanine integument decreased amount, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0018527>	<http://www.w3.org/2000/01/rdf-schema#label>	"dorsal root ganglion development disrupted, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0013789>	<http://www.w3.org/2000/01/rdf-schema#label>	"cranial nerve VII present, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0002392>	<http://www.w3.org/2000/01/rdf-schema#label>	"mitotic metaphase chromosome alignment disrupted, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0100974>	<http://www.w3.org/2000/01/rdf-schema#label>	"optic tectum increased occurrence action potential, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0006702>	<http://www.w3.org/2000/01/rdf-schema#label>	"ciliary marginal zone damaged, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0142731>	<http://www.w3.org/2000/01/rdf-schema#label>	"glioblast (sensu Vertebrata) normal occurrence cell population proliferation, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0152588>	<http://www.w3.org/2000/01/rdf-schema#label>	"maxilla mislocalised, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0009577>	<http://www.w3.org/2000/01/rdf-schema#label>	"posterior pancreatic bud lacks parts or has fewer parts of type insulin secreting cell, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0006685>	<http://www.w3.org/2000/01/rdf-schema#label>	"intersegmental vessel separated from axial blood vessel, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0013883>	<http://www.w3.org/2000/01/rdf-schema#label>	"cardiac muscle progenitor cell migration to the midline involved in heart field formation decreased occurrence, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0016709>	<http://www.w3.org/2000/01/rdf-schema#label>	"thymus has normal numbers of parts of type lymphocyte, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0003011>	<http://www.w3.org/2000/01/rdf-schema#label>	"notochord cellular quality, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0144013>	<http://www.w3.org/2000/01/rdf-schema#label>	"fertilization normal occurrence, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0000323>	<http://www.w3.org/2000/01/rdf-schema#label>	"tectal ventricle increased size, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0149342>	<http://www.w3.org/2000/01/rdf-schema#label>	"neoplasm pro-T cell increased amount, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0109516>	<http://www.w3.org/2000/01/rdf-schema#label>	"Merkel cell quality, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0103764>	<http://www.w3.org/2000/01/rdf-schema#label>	"pronephric duct has fewer parts of type autophagosome pronephric duct, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0106196>	<http://www.w3.org/2000/01/rdf-schema#label>	"spinal cord has normal numbers of parts of type ependymal cell motile cilium ependymal cell, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0010978>	<http://www.w3.org/2000/01/rdf-schema#label>	"dorsal longitudinal anastomotic vessel decreased thickness, abnormal"	
<http://purl.obolibrary.org/obo/ZFA_0001201>	<http://www.w3.org/2000/01/rdf-schema#label>	"ventral lateral mesoderm"	
<http://purl.obolibrary.org/obo/ZP_0103473>	<http://www.w3.org/2000/01/rdf-schema#label>	"optic tectum has normal numbers of parts of type neuron projection optic tectum, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0012778>	<http://www.w3.org/2000/01/rdf-schema#label>	"pharyngeal pouch occurrence protein localization to cell junction, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0137414>	<http://www.w3.org/2000/01/rdf-schema#label>	"ciliary marginal zone increased occurrence cell population proliferation, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0100369>	<http://www.w3.org/2000/01/rdf-schema#label>	"pancreatic B cell amount, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0151267>	<http://www.w3.org/2000/01/rdf-schema#label>	"brain decreased process quality glutathione metabolic process, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0017537>	<http://www.w3.org/2000/01/rdf-schema#label>	"cerebellum size, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0155697>	<http://www.w3.org/2000/01/rdf-schema#label>	"skeletal muscle decreased occurrence oxidative phosphorylation, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0152023>	<http://www.w3.org/2000/01/rdf-schema#label>	"mitochondrion macrophage amount, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0138153>	<http://www.w3.org/2000/01/rdf-schema#label>	"glucose metabolic process delayed, abnormal"	
<http://purl.obolibrary.org/obo/ZFA_0001590>	<http://www.w3.org/2000/01/rdf-schema#label>	"dermal bone"	
<http://purl.obolibrary.org/obo/ZP_0008309>	<http://www.w3.org/2000/01/rdf-schema#label>	"somite lacks parts or has fewer parts of type medial region slow muscle cell, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0015719>	<http://www.w3.org/2000/01/rdf-schema#label>	"liver process quality connective tissue replacement involved in inflammatory response wound healing, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0012615>	<http://www.w3.org/2000/01/rdf-schema#label>	"definitive hemopoiesis occurrence, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0015047>	<http://www.w3.org/2000/01/rdf-schema#label>	"exocrine cell decreased amount, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0019912>	<http://www.w3.org/2000/01/rdf-schema#label>	"postovulatory follicle absent, abnormal"	
<http://purl.obolibrary.org/obo/PATO_0002083>	<http://www.w3.org/2000/01/rdf-schema#label>	"altered number of"	
<http://purl.obolibrary.org/obo/ZP_0000813>	<http://www.w3.org/2000/01/rdf-schema#label>	"alar plate midbrain region physical object quality, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0004049>	<http://www.w3.org/2000/01/rdf-schema#label>	"endothelial tube morphogenesis process quality, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0006160>	<http://www.w3.org/2000/01/rdf-schema#label>	"cholinergic neuron retinal neural layer decreased amount, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0003232>	<http://www.w3.org/2000/01/rdf-schema#label>	"pericardial cavity edematous, abnormal"	
<http://purl.obolibrary.org/obo/ZFA_0000695>	<http://www.w3.org/2000/01/rdf-schema#label>	"labial cavity"	
<http://purl.obolibrary.org/obo/ZP_0010430>	<http://www.w3.org/2000/01/rdf-schema#label>	"oculomotor nucleus has fewer parts of type neuron, abnormal"	
<http://purl.obolibrary.org/obo/GO_0045852>	<http://www.w3.org/2000/01/rdf-schema#label>	"pH elevation"	
<http://purl.obolibrary.org/obo/ZP_0140673>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kupffer's vesicle decreased process quality cilium assembly, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0148597>	<http://www.w3.org/2000/01/rdf-schema#label>	"visceral fat heart increased amount, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0110128>	<http://www.w3.org/2000/01/rdf-schema#label>	"RoM2l quality, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0108830>	<http://www.w3.org/2000/01/rdf-schema#label>	"CNS short range interneuron quality, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0010807>	<http://www.w3.org/2000/01/rdf-schema#label>	"mitochondrial electron transport, ubiquinol to cytochrome c decreased rate, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0102435>	<http://www.w3.org/2000/01/rdf-schema#label>	"oocyte female organism viability, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0014723>	<http://www.w3.org/2000/01/rdf-schema#label>	"cholesterol biosynthetic process process quality, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0145667>	<http://www.w3.org/2000/01/rdf-schema#label>	"asparagine whole organism normal amount, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0009624>	<http://www.w3.org/2000/01/rdf-schema#label>	"fin fold pectoral fin bud disorganized, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0147657>	<http://www.w3.org/2000/01/rdf-schema#label>	"columnar chondrocyte Meckel's cartilage disorganized, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0022668>	<http://www.w3.org/2000/01/rdf-schema#label>	"pancreatic B cell increased occurrence cell cycle, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0018306>	<http://www.w3.org/2000/01/rdf-schema#label>	"hematopoietic multipotent progenitor cell kidney dysplastic, abnormal"	
<http://purl.obolibrary.org/obo/ZP_0005824>	<http://www.w3.org/2000/01/rdf-schema#label>	"oligodendrocyte hindbrain decreased amount, abnormal"	
