?x	?p	?y
<http://purl.obolibrary.org/obo/ZFA_0009019>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/GO_0021684>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/GO_0021683>
<http://purl.obolibrary.org/obo/GO_2000300>	<http://purl.obolibrary.org/obo/RO_0002211>	<http://purl.obolibrary.org/obo/GO_0016079>
<http://purl.obolibrary.org/obo/GO_1903368>	<http://purl.obolibrary.org/obo/RO_0002211>	<http://purl.obolibrary.org/obo/GO_0060756>
<http://purl.obolibrary.org/obo/GO_0090109>	<http://purl.obolibrary.org/obo/RO_0002211>	<http://purl.obolibrary.org/obo/GO_0007044>
<http://purl.obolibrary.org/obo/GO_0070172>	<http://purl.obolibrary.org/obo/RO_0002213>	<http://purl.obolibrary.org/obo/GO_0034505>
<http://purl.obolibrary.org/obo/ZFA_0000152>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000030>
<http://purl.obolibrary.org/obo/CHEBI_17418>	<http://purl.obolibrary.org/obo/RO_0018034>	<http://purl.obolibrary.org/obo/CHEBI_31011>
<http://purl.obolibrary.org/obo/GO_2000678>	<http://purl.obolibrary.org/obo/RO_0002212>	<http://purl.obolibrary.org/obo/GO_0000976>
<http://purl.obolibrary.org/obo/ZFA_0009000>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0009313>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0001068>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000033>
<http://purl.obolibrary.org/obo/CHEBI_32512>	<http://purl.obolibrary.org/obo/RO_0018034>	<http://purl.obolibrary.org/obo/CHEBI_32513>
<http://purl.obolibrary.org/obo/GO_0140311>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/GO_0005515>
<http://purl.obolibrary.org/obo/GO_1904145>	<http://purl.obolibrary.org/obo/RO_0002212>	<http://purl.obolibrary.org/obo/GO_1903537>
<http://purl.obolibrary.org/obo/CHEBI_16828>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_75771>
<http://purl.obolibrary.org/obo/GO_0032525>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/GO_0001756>
<http://purl.obolibrary.org/obo/GO_1901321>	<http://purl.obolibrary.org/obo/RO_0002213>	<http://purl.obolibrary.org/obo/GO_0003129>
<http://purl.obolibrary.org/obo/ZFA_0009290>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0009316>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0001047>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000034>
<http://purl.obolibrary.org/obo/ZFA_0005168>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0005001>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0001610>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000025>
<http://purl.obolibrary.org/obo/ZFA_0005695>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0005406>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/GO_0014037>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/GO_0007422>
<http://purl.obolibrary.org/obo/ZFA_0007096>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0001026>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000036>
<http://purl.obolibrary.org/obo/CHEBI_17790>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_33292>
<http://purl.obolibrary.org/obo/GO_0140239>	<http://purl.obolibrary.org/obo/BFO_0000066>	<http://purl.obolibrary.org/obo/GO_0098794>
<http://purl.obolibrary.org/obo/GO_1904352>	<http://purl.obolibrary.org/obo/RO_0002213>	<http://purl.obolibrary.org/obo/GO_0007039>
<http://purl.obolibrary.org/obo/CHEBI_32689>	<http://purl.obolibrary.org/obo/RO_0018033>	<http://purl.obolibrary.org/obo/CHEBI_32690>
<http://purl.obolibrary.org/obo/CHEBI_17650>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_22587>
<http://purl.obolibrary.org/obo/ZFA_0007053>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0005378>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000039>
<http://purl.obolibrary.org/obo/ZFA_0000804>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000027>
<http://purl.obolibrary.org/obo/ZFA_0000352>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0001290>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0001033>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000043>
<http://purl.obolibrary.org/obo/CHEBI_33719>	<http://purl.obolibrary.org/obo/RO_0018034>	<http://purl.obolibrary.org/obo/CHEBI_33704>
<http://purl.obolibrary.org/obo/CHEBI_28125>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_66981>
<http://purl.obolibrary.org/obo/GO_0007538>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/GO_0007275>
<http://purl.obolibrary.org/obo/GO_1903353>	<http://purl.obolibrary.org/obo/RO_0002211>	<http://purl.obolibrary.org/obo/GO_0006997>
<http://purl.obolibrary.org/obo/GO_0060035>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/GO_0060034>
<http://purl.obolibrary.org/obo/GO_0046634>	<http://purl.obolibrary.org/obo/RO_0002211>	<http://purl.obolibrary.org/obo/GO_0046631>
<http://purl.obolibrary.org/obo/GO_0048708>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/GO_0007417>
<http://purl.obolibrary.org/obo/ZFA_0000450>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0000608>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/ZFA_0005661>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/ZFA_0005668>
<http://purl.obolibrary.org/obo/GO_0035462>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/GO_0021536>
<http://purl.obolibrary.org/obo/GO_0099626>	<http://purl.obolibrary.org/obo/BFO_0000066>	<http://purl.obolibrary.org/obo/GO_0098793>
<http://purl.obolibrary.org/obo/CHEBI_17517>	<http://purl.obolibrary.org/obo/RO_0018034>	<http://purl.obolibrary.org/obo/CHEBI_60523>
<http://purl.obolibrary.org/obo/ZFA_0001292>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000043>
<http://purl.obolibrary.org/obo/CHEBI_21168>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_76971>
<http://purl.obolibrary.org/obo/ZFA_0005088>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/GO_0098772>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/GO_0005515>
<http://purl.obolibrary.org/obo/ZFA_0000640>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0007028>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000022>
<http://purl.obolibrary.org/obo/GO_0003370>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/GO_0003369>
<http://purl.obolibrary.org/obo/CHEBI_37155>	<http://purl.obolibrary.org/obo/RO_0018033>	<http://purl.obolibrary.org/obo/CHEBI_22958>
<http://purl.obolibrary.org/obo/CHEBI_63470>	<http://purl.obolibrary.org/obo/RO_0018033>	<http://purl.obolibrary.org/obo/CHEBI_26834>
<http://purl.obolibrary.org/obo/CHEBI_18295>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_67079>
<http://purl.obolibrary.org/obo/CHEBI_29016>	<http://purl.obolibrary.org/obo/RO_0018033>	<http://purl.obolibrary.org/obo/CHEBI_32696>
<http://purl.obolibrary.org/obo/CHEBI_33508>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_78675>
<http://purl.obolibrary.org/obo/GO_1904028>	<http://purl.obolibrary.org/obo/RO_0002213>	<http://purl.obolibrary.org/obo/GO_0030199>
<http://purl.obolibrary.org/obo/CHEBI_29750>	<http://purl.obolibrary.org/obo/RO_0018034>	<http://purl.obolibrary.org/obo/CHEBI_17640>
<http://purl.obolibrary.org/obo/CHEBI_60377>	<http://purl.obolibrary.org/obo/RO_0018033>	<http://purl.obolibrary.org/obo/CHEBI_17361>
<http://purl.obolibrary.org/obo/ZFA_0005870>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/GO_1904846>	<http://purl.obolibrary.org/obo/RO_0002212>	<http://purl.obolibrary.org/obo/GO_0061171>
<http://purl.obolibrary.org/obo/ZFA_0005416>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/BSPO_0000677>	<http://purl.obolibrary.org/obo/RO_0002131>	<http://purl.obolibrary.org/obo/BSPO_0000061>
<http://purl.obolibrary.org/obo/ZFA_0000686>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/GO_1901863>	<http://purl.obolibrary.org/obo/RO_0002213>	<http://purl.obolibrary.org/obo/GO_0060537>
<http://purl.obolibrary.org/obo/ZFA_0000740>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000024>
<http://purl.obolibrary.org/obo/ZFA_0005690>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/GO_1902730>	<http://purl.obolibrary.org/obo/RO_0002213>	<http://purl.obolibrary.org/obo/GO_0030166>
<http://purl.obolibrary.org/obo/GO_0000910>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/GO_0090148>
<http://purl.obolibrary.org/obo/GO_0030810>	<http://purl.obolibrary.org/obo/RO_0002213>	<http://purl.obolibrary.org/obo/GO_0009165>
<http://purl.obolibrary.org/obo/CHEBI_15422>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_50733>
<http://purl.obolibrary.org/obo/ZFA_0005419>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/GO_1902119>	<http://purl.obolibrary.org/obo/RO_0002211>	<http://purl.obolibrary.org/obo/GO_0051232>
<http://purl.obolibrary.org/obo/ZFA_0007109>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0005489>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000024>
<http://purl.obolibrary.org/obo/GO_0045981>	<http://purl.obolibrary.org/obo/RO_0002213>	<http://purl.obolibrary.org/obo/GO_0009117>
<http://purl.obolibrary.org/obo/GO_1902679>	<http://purl.obolibrary.org/obo/RO_0002212>	<http://purl.obolibrary.org/obo/GO_0032774>
<http://purl.obolibrary.org/obo/CHEBI_16480>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_231911>
<http://purl.obolibrary.org/obo/CHEBI_44247>	<http://purl.obolibrary.org/obo/RO_0018034>	<http://purl.obolibrary.org/obo/CHEBI_32392>
<http://purl.obolibrary.org/obo/CHEBI_16919>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_35610>
<http://purl.obolibrary.org/obo/GO_0032401>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/GO_0032400>
<http://purl.obolibrary.org/obo/CHEBI_15428>	<http://purl.obolibrary.org/obo/RO_0018034>	<http://purl.obolibrary.org/obo/CHEBI_32508>
<http://purl.obolibrary.org/obo/GO_0006418>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/GO_0006412>
<http://purl.obolibrary.org/obo/GO_1902905>	<http://purl.obolibrary.org/obo/RO_0002213>	<http://purl.obolibrary.org/obo/GO_0097435>
<http://purl.obolibrary.org/obo/ZFA_0000440>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/CHEBI_33569>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_76967>
<http://purl.obolibrary.org/obo/GO_2000832>	<http://purl.obolibrary.org/obo/RO_0002212>	<http://purl.obolibrary.org/obo/GO_0035929>
<http://purl.obolibrary.org/obo/ZFA_0007101>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/CHEBI_28940>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_66981>
<http://purl.obolibrary.org/obo/CHEBI_17822>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/CHEBI_24712>
<http://purl.obolibrary.org/obo/GO_0060279>	<http://purl.obolibrary.org/obo/RO_0002213>	<http://purl.obolibrary.org/obo/GO_0030728>
<http://purl.obolibrary.org/obo/CHEBI_52136>	<http://purl.obolibrary.org/obo/RO_0018034>	<http://purl.obolibrary.org/obo/CHEBI_58882>
<http://purl.obolibrary.org/obo/CHEBI_15603>	<http://purl.obolibrary.org/obo/RO_0018036>	<http://purl.obolibrary.org/obo/CHEBI_57427>
<http://purl.obolibrary.org/obo/ZFA_0005647>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/CHEBI_16865>	<http://purl.obolibrary.org/obo/RO_0018038>	<http://purl.obolibrary.org/obo/CHEBI_30772>
<http://purl.obolibrary.org/obo/ZFA_0005576>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/GO_0106072>	<http://purl.obolibrary.org/obo/RO_0002212>	<http://purl.obolibrary.org/obo/GO_0007189>
<http://purl.obolibrary.org/obo/ZFA_0000747>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000034>
<http://purl.obolibrary.org/obo/GO_0032385>	<http://purl.obolibrary.org/obo/RO_0002213>	<http://purl.obolibrary.org/obo/GO_0032367>
<http://purl.obolibrary.org/obo/CHEBI_17191>	<http://purl.obolibrary.org/obo/RO_0000087>	<http://purl.obolibrary.org/obo/CHEBI_77746>
<http://purl.obolibrary.org/obo/ZFA_0000299>	<http://purl.obolibrary.org/obo/RO_0002496>	<http://purl.obolibrary.org/obo/ZFS_0000000>
<http://purl.obolibrary.org/obo/GO_0090303>	<http://purl.obolibrary.org/obo/RO_0002213>	<http://purl.obolibrary.org/obo/GO_0042060>
<http://purl.obolibrary.org/obo/GO_0030449>	<http://purl.obolibrary.org/obo/RO_0002211>	<http://purl.obolibrary.org/obo/GO_0006956>
<http://purl.obolibrary.org/obo/ZFA_0001158>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/ZFA_0001694>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
<http://purl.obolibrary.org/obo/CHEBI_142940>	<http://purl.obolibrary.org/obo/RO_0018038>	<http://purl.obolibrary.org/obo/CHEBI_15756>
<http://purl.obolibrary.org/obo/GO_0042053>	<http://purl.obolibrary.org/obo/RO_0002211>	<http://purl.obolibrary.org/obo/GO_0042417>
<http://purl.obolibrary.org/obo/ZFA_0000305>	<http://purl.obolibrary.org/obo/RO_0002497>	<http://purl.obolibrary.org/obo/ZFS_0000044>
