term,value
http://purl.obolibrary.org/obo/ZP_0152125,"http://purl.obolibrary.org/obo/CHEBI_137863 liver decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0150826,"http://purl.obolibrary.org/obo/CHEBI_140940 whole organism decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0152312,"http://purl.obolibrary.org/obo/CHEBI_167265 brain increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0152321,"http://purl.obolibrary.org/obo/CHEBI_136154 brain decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0155325,"http://purl.obolibrary.org/obo/CHEBI_68467 male organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154625,"http://purl.obolibrary.org/obo/CHEBI_137830 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0150489,"http://purl.obolibrary.org/obo/CHEBI_28216 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0152957,"http://purl.obolibrary.org/obo/CHEBI_156253 spinal cord normal amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0155580,"http://purl.obolibrary.org/obo/CHEBI_84644 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0155319,"http://purl.obolibrary.org/obo/CHEBI_68467 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0149964,"http://purl.obolibrary.org/obo/CHEBI_65293 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0150450,"http://purl.obolibrary.org/obo/CHEBI_798 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0153384,"http://purl.obolibrary.org/obo/CHEBI_120617 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0150787,"http://purl.obolibrary.org/obo/CHEBI_61341 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154618,"http://purl.obolibrary.org/obo/CHEBI_132579 whole organism decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154645,"http://purl.obolibrary.org/obo/CHEBI_64549 whole organism decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0152319,"http://purl.obolibrary.org/obo/CHEBI_87255 brain increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0156015,"http://purl.obolibrary.org/obo/CHEBI_44236 whole organism normal amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154637,"http://purl.obolibrary.org/obo/CHEBI_193016 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154659,"http://purl.obolibrary.org/obo/CHEBI_90456 whole organism decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154620,"http://purl.obolibrary.org/obo/CHEBI_133297 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0151405,"http://purl.obolibrary.org/obo/CHEBI_64552 whole organism decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0151531,"http://purl.obolibrary.org/obo/CHEBI_89633 whole organism decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154643,"http://purl.obolibrary.org/obo/CHEBI_63327 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154975,"http://purl.obolibrary.org/obo/CHEBI_8828 mid intestine increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0155322,"http://purl.obolibrary.org/obo/CHEBI_19227 male organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0155536,"http://purl.obolibrary.org/obo/CHEBI_16475 whole organism decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0150813,"http://purl.obolibrary.org/obo/CHEBI_51114 yolk increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154630,"http://purl.obolibrary.org/obo/CHEBI_167264 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0153184,"microglial cell decreased accumulation http://purl.obolibrary.org/obo/CHEBI_86370 microglial cell, abnormal"
http://purl.obolibrary.org/obo/ZP_0152130,"http://purl.obolibrary.org/obo/CHEBI_85767 liver decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154646,"http://purl.obolibrary.org/obo/CHEBI_65294 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0149826,"http://purl.obolibrary.org/obo/CHEBI_26206 brain decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0155326,"http://purl.obolibrary.org/obo/CHEBI_69426 male organism normal amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0155323,"http://purl.obolibrary.org/obo/CHEBI_19228 male organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0155079,"http://purl.obolibrary.org/obo/CHEBI_89633 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0155579,"http://purl.obolibrary.org/obo/CHEBI_84634 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0151445,"http://purl.obolibrary.org/obo/CHEBI_89951 brain decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154658,"http://purl.obolibrary.org/obo/CHEBI_88522 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0141352,"http://purl.obolibrary.org/obo/CARO_0000010 notochord straight, abnormal"
http://purl.obolibrary.org/obo/ZP_0151532,"http://purl.obolibrary.org/obo/CHEBI_89951 whole organism decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0150828,"http://purl.obolibrary.org/obo/CHEBI_140944 whole organism decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0151306,"http://purl.obolibrary.org/obo/CHEBI_131436 whole organism increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154649,"http://purl.obolibrary.org/obo/CHEBI_66864 whole organism decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154624,"http://purl.obolibrary.org/obo/CHEBI_137618 whole organism decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154614,"http://purl.obolibrary.org/obo/CHEBI_131440 whole organism decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0152311,"http://purl.obolibrary.org/obo/CHEBI_141598 brain increased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0153186,"microglial cell accumulation http://purl.obolibrary.org/obo/CHEBI_86370 microglial cell, abnormal"
http://purl.obolibrary.org/obo/ZP_0150281,"http://purl.obolibrary.org/obo/CHEBI_50732 whole organism decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0154648,"http://purl.obolibrary.org/obo/CHEBI_66863 whole organism decreased amount, abnormal"
http://purl.obolibrary.org/obo/ZP_0149961,"http://purl.obolibrary.org/obo/CHEBI_136151 whole organism increased amount, abnormal"
