ID [IRI]	LABEL
http://purl.obolibrary.org/obo/PATO_0001164	dense
http://purl.obolibrary.org/obo/PATO_0001167	damaged
http://purl.obolibrary.org/obo/PATO_0001199	linear
http://purl.obolibrary.org/obo/PATO_0001200	T-shaped
http://purl.obolibrary.org/obo/PATO_0001201	Y-shaped
http://purl.obolibrary.org/obo/PATO_0001230	strength
http://purl.obolibrary.org/obo/PATO_0001236	process quality
http://purl.obolibrary.org/obo/PATO_0001241	physical object quality
http://purl.obolibrary.org/obo/PATO_0001251	dark grey
http://purl.obolibrary.org/obo/PATO_0001266	desaturated blue
http://purl.obolibrary.org/obo/PATO_0001284	desaturated red
http://purl.obolibrary.org/obo/PATO_0001286	desaturated yellow
http://purl.obolibrary.org/obo/PATO_0001287	red brown
http://purl.obolibrary.org/obo/PATO_0001300	optical quality
http://purl.obolibrary.org/obo/PATO_0001355	convex
http://purl.obolibrary.org/obo/PATO_0001359	rugose
http://purl.obolibrary.org/obo/PATO_0001366	punctiform
http://purl.obolibrary.org/obo/PATO_0001368	erose
http://purl.obolibrary.org/obo/PATO_0001396	cellular quality
http://purl.obolibrary.org/obo/PATO_0001397	cellular potency
http://purl.obolibrary.org/obo/PATO_0001409	spindle-shaped
http://purl.obolibrary.org/obo/PATO_0001410	striated
http://purl.obolibrary.org/obo/PATO_0001419	sharp
http://purl.obolibrary.org/obo/PATO_0001435	attachment quality
http://purl.obolibrary.org/obo/PATO_0001442	wholeness
http://purl.obolibrary.org/obo/PATO_0001444	broken
http://purl.obolibrary.org/obo/PATO_0001447	calcified
http://purl.obolibrary.org/obo/PATO_0001450	edematous
http://purl.obolibrary.org/obo/PATO_0001453	detached from
http://purl.obolibrary.org/obo/PATO_0001465	monstrous
http://purl.obolibrary.org/obo/PATO_0001466	curved rostral
http://purl.obolibrary.org/obo/PATO_0001467	curved caudal
http://purl.obolibrary.org/obo/PATO_0001468	curved dorsal
http://purl.obolibrary.org/obo/PATO_0001469	curved ventral
http://purl.obolibrary.org/obo/PATO_0001473	duplicated
http://purl.obolibrary.org/obo/PATO_0001476	decreased position
http://purl.obolibrary.org/obo/PATO_0001478	collapsed
http://purl.obolibrary.org/obo/PATO_0001481	sloped
http://purl.obolibrary.org/obo/PATO_0001482	prominent
http://purl.obolibrary.org/obo/PATO_0001483	aplastic
http://purl.obolibrary.org/obo/PATO_0001495	notched
http://purl.obolibrary.org/obo/PATO_0001499	spherical
http://purl.obolibrary.org/obo/PATO_0001500	tapered
http://purl.obolibrary.org/obo/PATO_0001509	functionality
http://purl.obolibrary.org/obo/PATO_0001510	functional
http://purl.obolibrary.org/obo/PATO_0001511	non-functional
http://purl.obolibrary.org/obo/PATO_0001512	punctate
http://purl.obolibrary.org/obo/PATO_0001555	has number of
http://purl.obolibrary.org/obo/PATO_0001558	lacking processual parts
http://purl.obolibrary.org/obo/PATO_0001562	decreased mass
http://purl.obolibrary.org/obo/PATO_0001563	increased mass
http://purl.obolibrary.org/obo/PATO_0001564	extra or missing processual parts
http://purl.obolibrary.org/obo/PATO_0001571	dilated
http://purl.obolibrary.org/obo/PATO_0001591	curvature
http://purl.obolibrary.org/obo/PATO_0001592	increased curvature
http://purl.obolibrary.org/obo/PATO_0001593	decreased curvature
http://purl.obolibrary.org/obo/PATO_0001594	arched
http://purl.obolibrary.org/obo/PATO_0001597	everted
http://purl.obolibrary.org/obo/PATO_0001598	protruding
http://purl.obolibrary.org/obo/PATO_0001599	rotated
http://purl.obolibrary.org/obo/PATO_0001617	deformed
http://purl.obolibrary.org/obo/PATO_0001623	atrophied
http://purl.obolibrary.org/obo/PATO_0001624	decreased functionality
http://purl.obolibrary.org/obo/PATO_0001643	stubby
http://purl.obolibrary.org/obo/PATO_0001646	protruding out of
http://purl.obolibrary.org/obo/PATO_0001649	curved lateral
http://purl.obolibrary.org/obo/PATO_0001708	1-D extent
http://purl.obolibrary.org/obo/PATO_0001710	3-D extent
http://purl.obolibrary.org/obo/PATO_0001779	decreased strength
http://purl.obolibrary.org/obo/PATO_0001784	bifurcated
http://purl.obolibrary.org/obo/PATO_0001785	splayed
http://purl.obolibrary.org/obo/PATO_0001786	split
http://purl.obolibrary.org/obo/PATO_0001787	rotational curvature
